iter	Logloss
0	0.6388870603
1	0.5915109712
2	0.553480611
3	0.5241778793
4	0.4998069716
5	0.4814698221
6	0.467519675
7	0.4559985379
8	0.4472070603
9	0.4383877963
10	0.4307857994
11	0.4248534894
12	0.4188660975
13	0.414421801
14	0.4105424477
15	0.4072667213
16	0.4043626446
17	0.4017062345
18	0.3987655094
19	0.3964564282
20	0.3943881972
21	0.3916332885
22	0.389895779
23	0.3879373003
24	0.3865926658
25	0.3848735267
26	0.3834175185
27	0.3824707697
28	0.3810916665
29	0.3801326826
30	0.3791873067
31	0.3781886476
32	0.3771562822
33	0.3764678726
34	0.3758253676
35	0.3744880312
36	0.3733809749
37	0.3729030514
38	0.3721500804
39	0.371535295
40	0.3706579825
41	0.3700747424
42	0.3698025275
43	0.3694665795
44	0.3687855514
45	0.3683134299
46	0.3679246362
47	0.367320945
48	0.3670158316
49	0.3664888762
50	0.3660850829
51	0.3658421185
52	0.3654587635
53	0.365106037
54	0.3647338873
55	0.3643614198
56	0.3640051681
57	0.3635753695
58	0.3633746903
59	0.3631648256
60	0.3628465702
61	0.3626516745
62	0.3624318843
63	0.3621559592
64	0.3620614354
65	0.3619350794
66	0.3615605802
67	0.3613292403
68	0.3610267491
69	0.3607964494
70	0.3604258423
71	0.3600658875
72	0.3598645609
73	0.3596356013
74	0.3592974962
75	0.3591468163
76	0.3589573152
77	0.3587838519
78	0.3584801254
79	0.3583656172
80	0.3581170149
81	0.3579149151
82	0.3576941163
83	0.35754104
84	0.3572472601
85	0.3570259609
86	0.3567649783
87	0.3566395301
88	0.3565288096
89	0.3562744543
90	0.3561593542
91	0.3560217643
92	0.3559907065
93	0.3559268831
94	0.3557215915
95	0.3554906292
96	0.355332421
97	0.3551281027
98	0.354876147
99	0.3547506651
100	0.354675929
101	0.3545151418
102	0.3544562753
103	0.3542113599
104	0.3539929785
105	0.3539486606
106	0.3538049482
107	0.3536547807
108	0.3535631068
109	0.3533636706
110	0.3531319565
111	0.3530329205
112	0.3528904873
113	0.352822461
114	0.3525967417
115	0.352431493
116	0.3522497735
117	0.3520711321
118	0.3518478548
119	0.3516614587
120	0.3516596811
121	0.3514435496
122	0.3512226422
123	0.3508160132
124	0.3506175433
125	0.3505149935
126	0.3503994888
127	0.350130669
128	0.3499391573
129	0.3499379979
130	0.3498520867
131	0.3498105392
132	0.3495040773
133	0.3493553972
134	0.3491853843
135	0.348930786
136	0.3487753719
137	0.3486469045
138	0.3485733534
139	0.3485080895
140	0.3484455238
141	0.3484398853
142	0.3484121621
143	0.3483517079
144	0.3480203813
145	0.3478107322
146	0.3477780177
147	0.3477603801
148	0.3476468903
149	0.3475142454
150	0.3475013784
151	0.3473709481
152	0.3473681999
153	0.3472931245
154	0.3472560569
155	0.3472088263
156	0.3472026298
157	0.3469423503
158	0.3467414604
159	0.346579881
160	0.3465400575
161	0.3465351438
162	0.3463400411
163	0.3462183122
164	0.3460472032
165	0.3460422986
166	0.3458594296
167	0.3456912008
168	0.3456601397
169	0.34565882
170	0.3456002446
171	0.3455015354
172	0.3454624697
173	0.3453904078
174	0.3452644834
175	0.3452183304
176	0.3450811191
177	0.3450364428
178	0.3449655214
179	0.3448232827
180	0.3446613426
181	0.3445718552
182	0.3444152895
183	0.3444142189
184	0.3443652153
185	0.3443623335
186	0.3442862239
187	0.3441389787
188	0.3441349035
189	0.344101357
190	0.3438818216
191	0.3437447819
192	0.3436497011
193	0.3435246445
194	0.3434144397
195	0.3434046666
196	0.3433386092
197	0.3432737588
198	0.3432366278
199	0.3432342174
200	0.3431932644
201	0.3430311862
202	0.3429356928
203	0.3428953871
204	0.3428047704
205	0.3427506069
206	0.3426705312
207	0.3425850817
208	0.3424726495
209	0.34238805
210	0.3422729194
211	0.3422705234
212	0.3422245772
213	0.3422223353
214	0.3422037134
215	0.342103943
216	0.3421039338
217	0.3419329934
218	0.3419297502
219	0.34190225
220	0.3418308678
221	0.3417428228
222	0.3417398335
223	0.341726589
224	0.3416569906
225	0.3416341727
226	0.3415696567
227	0.3415401055
228	0.3415371982
229	0.3415019576
230	0.3414207699
231	0.3413355272
232	0.3412684281
233	0.3411550216
234	0.3411213759
235	0.3410883081
236	0.3410794173
237	0.3410468348
238	0.3410264269
239	0.3409087984
240	0.3408124564
241	0.340686027
242	0.3406063826
243	0.3405945563
244	0.340395135
245	0.3402922724
246	0.3402883409
247	0.3401996928
248	0.3400959407
249	0.3399323558
250	0.3398767049
251	0.3397999161
252	0.3396236168
253	0.3396235947
254	0.3395672922
255	0.3394214619
256	0.3394200502
257	0.3394138073
258	0.3393580101
259	0.339311525
260	0.3393088714
261	0.3392743178
262	0.3391959351
263	0.3391266987
264	0.3389874673
265	0.3389574696
266	0.3388451504
267	0.3387639871
268	0.3387365529
269	0.3386874734
270	0.3386613174
271	0.3386354985
272	0.3386153657
273	0.3384151665
274	0.3383589111
275	0.3383532223
276	0.3382791545
277	0.3381181736
278	0.3379995429
279	0.3379982848
280	0.3379922026
281	0.337849521
282	0.3377877242
283	0.3377108705
284	0.3377077429
285	0.337683754
286	0.3376202752
287	0.3376180768
288	0.3375621152
289	0.3374025993
290	0.3373645847
291	0.3372864496
292	0.3372762815
293	0.33724608
294	0.337219029
295	0.3371572268
296	0.3371543368
297	0.3371488809
298	0.337127862
299	0.3369692266
300	0.3368879956
301	0.3367783927
302	0.3366497436
303	0.3365198309
304	0.3363768595
305	0.3362641783
306	0.3362099319
307	0.3362085554
308	0.3361160813
309	0.3360559742
310	0.3360537017
311	0.3359315518
312	0.3358917917
313	0.335836431
314	0.3357063446
315	0.3356242426
316	0.3356223888
317	0.3355737769
318	0.33551621
319	0.3354369564
320	0.3352737055
321	0.3351104506
322	0.3350107896
323	0.3348679686
324	0.3347939171
325	0.3347341404
326	0.3347340862
327	0.334672537
328	0.3346243642
329	0.3345989718
330	0.3345680533
331	0.3345680507
332	0.334470438
333	0.3344394688
334	0.3343801362
335	0.334260538
336	0.3342605218
337	0.3342055993
338	0.3341384783
339	0.3340222104
340	0.333899167
341	0.3337842042
342	0.3336701583
343	0.3336005382
344	0.3335803906
345	0.3335803498
346	0.3335741676
347	0.3335689188
348	0.3335485686
349	0.3334679814
350	0.3334106266
351	0.3333410587
352	0.3332367764
353	0.3331461826
354	0.3330621644
355	0.3330018522
356	0.3329999755
357	0.3329330534
358	0.332883178
359	0.3327791306
360	0.3327752288
361	0.3326920915
362	0.3326166233
363	0.3325764779
364	0.3325330772
365	0.3324905415
366	0.332466928
367	0.332457886
368	0.3324292922
369	0.3324003328
370	0.3323484394
371	0.3323093315
372	0.3322432738
373	0.3321284031
374	0.3320920221
375	0.3320270064
376	0.3320007197
377	0.3319211472
378	0.3319036742
379	0.3318422583
380	0.3317446621
381	0.3317083019
382	0.3316686621
383	0.3315328152
384	0.3315296694
385	0.3315254357
386	0.3315234006
387	0.3315212966
388	0.3314266533
389	0.3313738653
390	0.3313134741
391	0.3312810225
392	0.33125431
393	0.3312411052
394	0.3311731281
395	0.3311134887
396	0.3311031769
397	0.3310570017
398	0.3310084617
399	0.3309139068
400	0.3309138926
401	0.3308830869
402	0.3307583143
403	0.3306592712
404	0.3305837068
405	0.3305665187
406	0.3305647
407	0.3305549453
408	0.3305418707
409	0.3304996341
410	0.3304925664
411	0.3304925307
412	0.3304924866
413	0.3304721235
414	0.3304721182
415	0.3304597713
416	0.3303381303
417	0.330265367
418	0.3302602733
419	0.3302158157
420	0.3301587962
421	0.3301151194
422	0.3301132424
423	0.3300280336
424	0.3299668537
425	0.3298814994
426	0.3298481657
427	0.3298196999
428	0.3297489626
429	0.3296825397
430	0.3296460402
431	0.3295272797
432	0.3294940443
433	0.329422849
434	0.3294181448
435	0.3293432734
436	0.3292821754
437	0.3292625383
438	0.3292298832
439	0.329202409
440	0.3291254722
441	0.329110671
442	0.3290666363
443	0.3289465318
444	0.3289437331
445	0.3289420885
446	0.3288604524
447	0.3288247215
448	0.3287469725
449	0.3287424612
450	0.3286521359
451	0.3286168022
452	0.3285742941
453	0.328522457
454	0.3284814251
455	0.3284766374
456	0.3284432258
457	0.3284228527
458	0.3283888801
459	0.328352411
460	0.3283359509
461	0.3283106502
462	0.3282734995
463	0.3282127409
464	0.3281964547
465	0.3281905212
466	0.3281807083
467	0.3281091866
468	0.3280356602
469	0.3280034476
470	0.3279840925
471	0.3279732026
472	0.3279498598
473	0.3279088692
474	0.3278764174
475	0.3278121179
476	0.3277717199
477	0.3277001854
478	0.3276838769
479	0.3275126327
480	0.3274829515
481	0.3274189751
482	0.3273656165
483	0.3273377076
484	0.3272705548
485	0.3272314597
486	0.327228377
487	0.3271091225
488	0.3270662032
489	0.3270218971
490	0.3269872369
491	0.3269320765
492	0.3269228397
493	0.3268043104
494	0.3267954245
495	0.3267572982
496	0.3267558789
497	0.3266905349
498	0.3266601117
499	0.326611912
500	0.3265804959
501	0.3265500808
502	0.3265085106
503	0.3263917424
504	0.3263309646
505	0.3262967701
506	0.3262512245
507	0.3262056245
508	0.3261856876
509	0.3261676197
510	0.3261286045
511	0.3261115293
512	0.3260757153
513	0.3260729577
514	0.3260381367
515	0.3260155577
516	0.3259190401
517	0.3258506119
518	0.3258416023
519	0.3257941272
520	0.3257414286
521	0.3257076682
522	0.3256751909
523	0.325635512
524	0.3256135614
525	0.3255150226
526	0.3255041484
527	0.3255012351
528	0.3254040476
529	0.3253736136
530	0.3253189224
531	0.3253074292
532	0.325303834
533	0.3253020563
534	0.3252592635
535	0.3252264476
536	0.325114815
537	0.3250296515
538	0.3250225775
539	0.3250042275
540	0.32495111
541	0.3248653557
542	0.3247370624
543	0.3246883646
544	0.3246407375
545	0.324601649
546	0.3245894676
547	0.3245867552
548	0.324571968
549	0.3245489743
550	0.3245178166
551	0.3244756535
552	0.3243831151
553	0.3243305051
554	0.3243196412
555	0.3242657788
556	0.3242493693
557	0.3241899991
558	0.3241630951
559	0.3241546172
560	0.324119987
561	0.3240796983
562	0.3240642807
563	0.3240451003
564	0.324009552
565	0.323963804
566	0.323830194
567	0.3238030432
568	0.3237046662
569	0.3236781793
570	0.3236228789
571	0.323621227
572	0.3235813079
573	0.323531783
574	0.3234377901
575	0.3233555228
576	0.3233416758
577	0.3233057101
578	0.3233019314
579	0.3232569826
580	0.3232295551
581	0.3231939262
582	0.3231889198
