iter	Passed	Remaining
0	506	1012030
1	1098	1096968
2	1376	915989
3	1710	853611
4	2023	807482
5	2249	747528
6	2463	701266
7	2593	645760
8	2902	641987
9	3145	625887
10	3630	656454
11	3885	643650
12	4033	616470
13	4159	590042
14	4367	577957
15	4556	564994
16	4653	542850
17	4754	523484
18	4865	507293
19	4978	492864
20	5080	478789
21	5165	464441
22	5238	450308
23	5334	439179
24	5429	428954
25	5541	420708
26	5644	412453
27	5742	404450
28	5862	398418
29	5988	393243
30	6084	386484
31	6195	381031
32	6280	374362
33	6392	369641
34	6485	364103
35	6591	359604
36	6708	355935
37	6799	351054
38	6883	346138
39	6975	341822
40	7082	338423
41	7183	334882
42	7270	330903
43	7364	327376
44	7459	324069
45	7551	320794
46	7667	318589
47	7797	317092
48	7887	314057
49	7964	310611
50	8055	307856
51	8142	305021
52	8215	301812
53	8308	299413
54	8387	296606
55	8477	294280
56	8574	292270
57	8660	289981
58	8748	287822
59	8840	285832
60	8964	284946
61	9048	282839
62	9208	283115
63	9316	281833
64	9414	280251
65	9563	280243
66	9687	279490
67	9828	279233
68	9940	278179
69	10056	277271
70	10165	276195
71	10267	274935
72	10359	273452
73	10456	272155
74	10558	271011
75	10680	270388
76	10780	269227
77	10883	268187
78	10988	267204
79	11080	265942
80	11180	264870
81	11293	264167
82	11372	262664
83	11494	262188
84	11591	261142
85	11684	260051
86	11818	259879
87	11921	259030
88	12020	258104
89	12111	257037
90	12226	256492
91	12323	255586
92	12411	254509
93	12526	253989
94	12626	253189
95	12726	252410
96	12815	251420
97	12964	251611
98	13103	251615
99	13256	251872
100	13338	250791
101	13438	250066
102	13534	249276
103	13656	248964
104	13752	248194
105	13859	247640
106	13963	247035
107	14090	246851
108	14198	246328
109	14284	245435
110	14399	245048
111	14512	244637
112	14615	244060
113	14741	243873
114	14809	242740
115	14894	241913
116	14987	241212
117	15094	240738
118	15180	239959
119	15271	239260
120	15338	238185
121	15433	237577
122	15533	237050
123	15646	236711
124	15760	236408
125	15853	235791
126	15951	235259
127	16063	234932
128	16186	234763
129	16312	234641
130	16407	234083
131	16494	233422
132	16620	233310
133	16733	233014
134	16841	232666
135	16931	232066
136	17031	231601
137	17133	231183
138	17229	230678
139	17324	230171
140	17415	229614
141	17493	228891
142	17581	228310
143	17699	228129
144	17786	227541
145	17946	227896
146	18492	233111
147	18771	234902
148	18926	235125
149	19097	235541
150	19207	235195
151	19362	235408
152	19421	234449
153	19521	234005
154	19619	233536
155	19722	233135
156	19827	232746
157	19947	232547
158	20082	232522
159	20204	232357
160	20318	232085
161	20406	231522
162	20522	231283
163	20721	231976
164	20837	231741
165	20952	231489
166	21111	231717
167	21251	231740
168	21367	231507
169	21500	231441
170	21746	232596
171	21872	232463
172	22009	232434
173	22125	232194
174	22223	231762
175	22375	231892
176	22773	234552
177	22922	234634
178	23029	234287
179	23635	238980
180	23910	240296
181	24059	240328
182	24194	240227
183	24349	240323
184	24596	241313
185	24697	240865
186	25039	242767
187	25284	243704
188	25379	243188
189	25572	243611
190	25703	243445
191	25809	243039
192	25916	242649
193	26024	242265
194	26126	241835
195	26234	241464
196	26347	241139
197	26455	240767
198	26563	240406
199	26686	240179
200	26841	240237
201	27051	240781
202	27645	244719
203	28019	246678
204	28334	248102
205	28570	248809
206	28723	248801
207	28926	249211
208	29183	250080
209	29532	251725
210	29957	253999
211	30332	255824
212	30532	256154
213	30598	255371
214	30826	255930
215	30996	256009
216	31100	255540
217	31339	256174
218	31579	256817
219	31911	258196
220	32046	257965
221	32176	257705
222	32294	257343
223	32370	256655
224	32744	258320
225	33019	259191
226	33166	259051
227	33309	258878
228	33452	258707
229	33562	258288
230	33889	259523
231	34320	261546
232	34676	262975
233	34891	263329
234	34989	262792
235	35124	262540
236	35244	262180
237	35346	261683
238	35470	261354
239	35611	261152
240	35721	260725
241	36226	263169
242	36554	264305
243	36690	264054
244	36809	263679
245	36922	263259
246	37071	263104
247	37193	262753
248	37400	263007
249	37524	262669
250	37670	262495
251	37781	262074
252	37981	262268
253	38167	262366
254	38308	262151
255	38457	261991
256	38527	261299
257	38636	260869
258	38747	260464
259	38851	260006
260	38950	259519
261	39057	259093
262	39173	258722
263	39298	258415
264	39405	257992
265	39651	258478
266	39889	258907
267	40023	258660
268	40131	258246
269	40227	257751
270	40334	257335
271	40504	257321
272	40726	257635
273	40956	257995
274	41178	258304
275	41383	258498
276	41547	258436
277	41906	259580
278	42053	259402
279	42188	259155
280	42475	259838
281	42704	260166
282	42826	259834
283	42943	259475
284	43053	259073
285	43161	258666
286	43276	258300
287	43381	257876
288	43504	257564
289	43614	257176
290	43751	256948
291	43852	256506
292	43982	256236
293	44091	255849
294	44215	255548
295	44316	255119
296	44408	254639
297	44488	254091
298	44605	253761
299	44710	253359
300	45043	254250
301	45234	254330
302	45359	254043
303	45475	253705
304	45609	253471
305	45878	253979
306	46504	256453
307	47272	259691
308	47541	260170
309	47710	260097
310	47865	259951
